S. No.,Country Name,Cases,Deaths,Recovered,Death_Rate,ISO
1.0,Peru,4524748,220831,4303917,4.9,PER
2.0,Bulgaria,1329266,38700,1290566,2.9000000000000004,BGR
3.0,Bosnia and Herzegovina,403638,16388,387250,4.1000000000000005,BIH
4.0,Hungary,2230381,49051,2181330,2.1999999999999997,HUN
5.0,North Macedonia,350589,9977,340612,2.8000000000000003,MKD
6.0,Slovenia,1355887,10056,1345831,0.7000000000000001,SVN
7.0,Croatia,1316958,18752,1298206,1.4000000000000001,HRV
8.0,Georgia,1862754,17150,1845604,0.8999999999999999,GEO
9.0,Montenegro,251280,2654,248626,1.0999999999999999,MNE
10.0,Czech Republic,4759288,43503,4715785,0.8999999999999999,CZE
11.0,Latvia,977701,7465,970236,0.8,LVA
12.0,Slovakia,1877741,21226,1856515,1.0999999999999999,SVK
13.0,Greece,5633376,39007,5594369,0.7000000000000001,GRC
14.0,San Marino,25292,126,25166,0.5,SMR
15.0,Moldova,635631,12235,623396,1.9,MDA
16.0,Lithuania,1366278,9805,1356473,0.7000000000000001,LTU
17.0,United States,103436829,1186984,102249845,1.0999999999999999,USA
18.0,Romania,3528662,68800,3459862,1.9,ROU
19.0,Gibraltar,20550,113,20437,0.5,GIB
20.0,United Kingdom,24924986,232112,24692874,0.8999999999999999,GBR
21.0,Italy,26721656,197001,26524655,0.7000000000000001,ITA
22.0,Brazil,37519960,702116,36817844,1.9,BRA
23.0,Chile,5399992,62698,5337294,1.2,CHL
24.0,Armenia,451831,8777,443054,1.9,ARM
25.0,Poland,6662631,120711,6541920,1.7999999999999998,POL
26.0,Martinique,230354,1104,229250,0.5,MTQ
27.0,Belgium,4861717,34339,4827378,0.7000000000000001,BEL
28.0,Paraguay,735759,19880,715879,2.7,PRY
29.0,Argentina,10131586,130857,10000729,1.3,ARG
30.0,Trinidad and Tobago,191496,4390,187106,2.3,TTO
32.0,Russia,24158502,402821,23755681,1.7000000000000002,RUS
33.0,Ukraine,5531524,109920,5421604,2.0,UKR
34.0,Colombia,6385309,142727,6242582,2.1999999999999997,COL
35.0,Aruba,44224,292,43932,0.7000000000000001,ABW
36.0,Portugal,5643528,28151,5615377,0.5,PRT
37.0,Serbia,2583470,18057,2565413,0.7000000000000001,SRB
38.0,Mexico,7709747,335011,7374736,4.3,MEX
39.0,France,38997490,168091,38829399,0.4,FRA
40.0,Sweden,2751819,27279,2724540,1.0,SWE
41.0,Guadeloupe,203235,1021,202214,0.5,GLP
42.0,Bermuda,18860,165,18695,0.8999999999999999,BMU
43.0,Spain,13980340,121852,13858488,0.8999999999999999,ESP
44.0,Austria,6082347,22534,6059813,0.4,AUT
45.0,Guam,52287,419,51868,0.8,GUM
46.0,Tunisia,1153361,29423,1123938,2.6,TUN
47.0,Saint Lucia,30252,410,29842,1.4000000000000001,LCA
48.0,Suriname,82496,1405,81091,1.7000000000000002,SUR
49.0,Liechtenstein,21576,89,21487,0.4,LIE
50.0,Estonia,610366,2998,607368,0.5,EST
51.0,Uruguay,1037893,7625,1030268,0.7000000000000001,URY
52.0,French Polynesia,79302,650,78652,0.8,PYF
53.0,Barbados,110615,593,110022,0.5,BRB
54.0,Germany,38437756,174979,38262777,0.5,DEU
55.0,Sint Maarten,11051,92,10959,0.8,SXM
56.0,Finland,1499712,11466,1488246,0.8,FIN
57.0,Bahamas,38084,844,37240,2.1999999999999997,BHS
58.0,British Virgin Islands,7420,64,7356,0.8999999999999999,VGB
59.0,Ecuador,1076087,36048,1040039,3.3000000000000003,ECU
60.0,Lebanon,1239904,10947,1228957,0.8999999999999999,LBN
61.0,Andorra,48015,159,47856,0.3,AND
62.0,Panama,1044336,8704,1035632,0.8,PAN
63.0,Republic of Ireland,1736068,9604,1726464,0.6,IRL
64.0,Grenada,19693,238,19455,1.2,GRD
65.0,Monaco,17181,67,17114,0.4,MCO
66.0,Bolivia,1212131,22387,1189744,1.7999999999999998,BOL
67.0,Puerto Rico,1252713,5938,1246775,0.5,PRI
68.0,Montserrat,1403,8,1395,0.6,MSR
69.0,Costa Rica,1230653,9368,1221285,0.8,CRI
70.0,Kosovo,274279,3212,271067,1.2,XKX
71.0,Hong Kong,2876106,13466,2862640,0.5,HKG
72.0,South Africa,4072681,102595,3970086,2.5,ZAF
73.0,Belize,71409,688,70721,1.0,BLZ
74.0,Malta,121422,905,120517,0.7000000000000001,MLT
75.0,Iran,7627863,146837,7481026,1.9,IRN
76.0,Denmark,3435018,9667,3425351,0.3,DNK
77.0,Switzerland,4453663,14188,4439475,0.3,CHE
78.0,Cyprus,691072,1442,689630,0.2,CYP
79.0,Guyana,74125,1301,72824,1.7999999999999998,GUY
80.0,Seychelles,51686,172,51514,0.3,SYC
81.0,Namibia,172404,4108,168296,2.4,NAM
82.0,Curaçao,45883,305,45578,0.7000000000000001,CUW
83.0,Antigua and Barbuda,9106,146,8960,1.6,ATG
84.0,Luxembourg,391378,1000,390378,0.3,LUX
85.0,Caribbean Netherlands,11922,41,11881,0.3,BES
86.0,Jersey,66391,161,66230,0.2,JEY
87.0,Collectivity of Saint Martin,12324,46,12278,0.4,MAF
88.0,Canada,4791646,54329,4737317,1.0999999999999999,CAN
89.0,Isle of Man,38008,116,37892,0.3,IMN
90.0,French Guiana,98041,413,97628,0.4,GUF
91.0,Israel,4841558,12707,4828851,0.3,ISR
92.0,United States Virgin Islands,25389,132,25257,0.5,VIR
93.0,Netherlands,8636201,22986,8613215,0.3,NLD
94.0,Jamaica,156822,3600,153222,2.3,JAM
95.0,Albania,334863,3605,331258,1.0999999999999999,ALB
96.0,Jordan,1746997,14122,1732875,0.8,JOR
97.0,Saint Vincent and the Grenadines,9674,124,9550,1.3,VCT
98.0,Turkey,17004714,101419,16903295,0.6,TUR
99.0,Eswatini,75191,1427,73764,1.9,SWZ
100.0,Guatemala,1250355,20215,1230140,1.6,GTM
101.0,Malaysia,5281323,37350,5243973,0.7000000000000001,MYS
102.0,Palestine,703228,5708,697520,0.8,PSE
103.0,New Caledonia,80064,314,79750,0.4,NCL
104.0,Honduras,472789,11114,461675,2.4,HND
105.0,Botswana,330650,2801,327849,0.8,BWA
106.0,Guernsey,35326,67,35259,0.2,GGY
107.0,Norway,1507568,5732,1501836,0.4,NOR
108.0,Bahrain,696614,1536,695078,0.2,BHR
109.0,Dominica,16047,74,15973,0.5,DMA
110.0,Oman,399449,4628,394821,1.2,OMN
111.0,Azerbaijan,835371,10353,825018,1.2,AZE
112.0,Kazakhstan,1503687,19072,1484615,1.3,KAZ
113.0,Saint Kitts and Nevis,6607,46,6561,0.7000000000000001,KNA
114.0,Australia,11846355,25166,11821189,0.2,AUS
115.0,Fiji,69047,885,68162,1.3,FJI
116.0,Réunion,494595,921,493674,0.2,REU
117.0,Libya,507269,6437,500832,1.3,LBY
118.0,Turks and Caicos Islands,6754,40,6714,0.6,TCA
119.0,Northern Mariana Islands,14656,41,14615,0.3,MNP
120.0,Mauritius,327305,1070,326235,0.3,MUS
121.0,Wallis and Futuna,3760,9,3751,0.2,WLF
122.0,Sri Lanka,672754,16899,655855,2.5,LKA
123.0,American Samoa,8359,34,8325,0.4,ASM
124.0,New Zealand,2587178,3976,2583202,0.2,NZL
125.0,Cuba,1113662,8530,1105132,0.8,CUB
126.0,Anguilla,3904,12,3892,0.3,AIA
127.0,Belarus,994037,7118,986919,0.7000000000000001,BLR
128.0,Taiwan,9970937,17672,9953265,0.2,TWN
129.0,Cabo Verde,64474,417,64057,0.6,CPV
130.0,South Korea,34571873,35934,34535939,0.1,KOR
131.0,El Salvador,201865,4230,197635,2.1,SLV
132.0,Mongolia,1011469,2136,1009333,0.2,MNG
133.0,Maldives,186694,316,186378,0.2,MDV
134.0,Japan,33803572,74694,33728878,0.2,JPN
135.0,Kuwait,667290,2570,664720,0.4,KWT
136.0,Indonesia,6828993,162058,6666935,2.4,IDN
137.0,Philippines,4140383,66864,4073519,1.6,PHL
138.0,Mayotte,42027,187,41840,0.4,MYT
139.0,Iraq,2465545,25375,2440170,1.0,IRQ
140.0,Federated States of Micronesia,26547,65,26482,0.2,FSM
141.0,Palau,6332,10,6322,0.2,PLW
142.0,Cayman Islands,31472,37,31435,0.1,CYM
143.0,Faroe Islands,34658,28,34630,0.1,FRO
144.0,Iceland,209938,186,209752,0.1,ISL
145.0,Thailand,4776096,34614,4741482,0.7000000000000001,THA
146.0,Saint Barthélemy,5507,5,5502,0.1,BLM
147.0,Vietnam,11624000,43206,11580794,0.4,VNM
148.0,Morocco,1279115,16305,1262810,1.3,MAR
149.0,Marshall Islands,16178,17,16161,0.1,MHL
150.0,Brunei,344020,178,343842,0.1,BRN
151.0,Nepal,1003450,12031,991419,1.2,NPL
152.0,Dominican Republic,661103,4384,656719,0.7000000000000001,DOM
153.0,India,45037776,533589,44504187,1.2,IND
154.0,Greenland,11971,21,11950,0.2,GRL
155.0,Myanmar,642138,19494,622644,3.0,MMR
156.0,Singapore,3006155,2024,3004131,0.1,SGP
157.0,Sao Tome and Principe,6771,80,6691,1.2,STP
158.0,Zimbabwe,266362,5740,260622,2.1999999999999997,ZWE
159.0,Saint Pierre and Miquelon,3426,2,3424,0.1,SPM
160.0,Lesotho,36138,709,35429,2.0,LSO
161.0,Solomon Islands,25954,199,25755,0.8,SLB
162.0,Saudi Arabia,841469,9646,831823,1.0999999999999999,SAU
163.0,Qatar,514524,690,513834,0.1,QAT
164.0,United Arab Emirates,1067030,2349,1064681,0.2,ARE
165.0,Egypt,516023,24830,491193,4.8,EGY
166.0,Mauritania,63854,997,62857,1.6,MRT
167.0,Venezuela,552695,5856,546839,1.0999999999999999,VEN
168.0,Zambia,349635,4069,345566,1.2,ZMB
169.0,Afghanistan,235214,7998,227216,3.4000000000000004,AFG
170.0,Comoros,9109,160,8949,1.7999999999999998,COM
171.0,Kiribati,5085,24,5061,0.5,KIR
172.0,Cambodia,139117,3056,136061,2.1999999999999997,KHM
173.0,Macau,3514,121,3393,3.4000000000000004,MAC
174.0,Bangladesh,2050060,29494,2020566,1.4000000000000001,BGD
175.0,Djibouti,15690,189,15501,1.2,DJI
176.0,Kyrgyzstan,88953,1024,87929,1.2,KGZ
177.0,Algeria,272027,6881,265146,2.5,DZA
