loan_id,num__no_of_dependents,num__income_annum,num__loan_amount,num__loan_term,num__cibil_score,num__residential_assets_value,num__commercial_assets_value,num__luxury_assets_value,num__bank_asset_value,num__all_assets,num__income_per_person,num__debt_income_ratio,num__debt_assets_ratio,num__amount_term_ratio,cat__education_ Not Graduate,cat__self_employed_ Yes
2897,2,5400000,17400000,10,335,5900000.0,1400000,18100000,4300000,25400000,1800000.0,3.2222216255145137,0.6850393431086873,1581818.1818181819,0.0,0.0
4235,3,1500000,5100000,14,837,4100000.0,1000000,3300000,1400000,8400000,375000.0,3.3999977333348443,0.6071427848639542,340000.0,1.0,1.0
3252,4,1200000,3300000,2,564,2200000.0,500000,4700000,1100000,7400000,240000.0,2.749997708335243,0.44594588568298843,1100000.0,0.0,0.0
1409,3,2000000,4200000,16,571,1700000.0,3900000,5800000,1300000,11400000,500000.0,2.099998950000525,0.3684210203139456,247058.82352941178,1.0,1.0
1169,2,8900000,28500000,6,367,22200000.0,16600000,21500000,9300000,60300000,2966666.6666666665,3.202246831208221,0.47263680808230835,4071428.5714285714,0.0,0.0
89,4,2000000,8000000,6,837,5100000.0,2600000,3900000,2900000,11600000,400000.0,3.999998000001,0.6896551129607661,1142857.142857143,0.0,1.0
3958,0,4300000,11000000,4,374,7100000.0,7300000,9300000,4700000,23700000,4300000.0,2.5581389399676886,0.46413500151329107,2200000.0,1.0,0.0
326,2,2700000,5700000,8,850,3500000.0,5000000,10500000,3900000,19000000,900000.0,2.1111103292183966,0.29999998421052715,633333.3333333334,1.0,1.0
634,4,8100000,18000000,8,817,1400000.0,7800000,16900000,10800000,26100000,1620000.0,2.2222219478738334,0.6896551459902243,2000000.0,1.0,1.0
2514,0,1800000,4200000,6,836,1300000.0,1900000,6800000,2000000,10000000,1800000.0,2.3333320370377573,0.4199999580000042,600000.0,1.0,0.0
4200,5,600000,2000000,20,811,300000.0,400000,1900000,600000,2600000,100000.0,3.333327777787037,0.7692304733728949,95238.09523809524,1.0,0.0
2748,1,9700000,25500000,18,741,21900000.0,6200000,34800000,4900000,62900000,4850000.0,2.62886570836436,0.40540539896016853,1342105.2631578948,0.0,1.0
