iter	Passed	Remaining
0	4	4120
1	7	3717
2	11	3700
3	14	3654
4	18	3615
5	21	3644
6	25	3582
7	28	3571
8	32	3584
9	36	3603
10	39	3590
11	43	3570
12	46	3561
13	50	3580
14	54	3556
15	57	3554
16	61	3545
17	65	3547
18	68	3527
19	71	3518
20	75	3510
21	78	3510
22	81	3456
23	85	3462
24	88	3457
25	92	3449
26	95	3433
27	98	3413
28	101	3395
29	104	3378
30	107	3369
31	110	3350
32	113	3337
33	116	3321
34	119	3304
35	122	3289
36	125	3273
37	128	3260
38	131	3244
39	134	3228
40	137	3213
41	140	3205
42	143	3198
43	146	3188
44	149	3177
45	152	3166
46	155	3153
47	158	3144
48	161	3142
49	164	3127
50	167	3109
51	169	3093
52	172	3079
53	175	3074
54	178	3072
55	181	3059
56	184	3045
57	186	3031
58	189	3019
59	191	3006
60	194	2993
61	197	2982
62	199	2972
63	202	2962
64	205	2952
65	207	2940
66	210	2928
67	212	2918
68	215	2908
69	218	2898
70	220	2887
71	223	2880
72	226	2870
73	228	2859
74	231	2850
75	233	2842
76	236	2832
77	238	2822
78	241	2818
79	244	2813
80	247	2805
81	249	2797
82	252	2791
83	255	2783
84	257	2776
85	260	2771
86	263	2766
87	266	2759
88	269	2755
89	272	2750
90	274	2745
91	277	2740
92	280	2734
93	283	2729
94	285	2723
95	288	2718
96	291	2714
97	294	2708
98	297	2703
99	299	2697
100	302	2690
101	305	2685
102	307	2679
103	310	2673
104	312	2666
105	315	2659
106	317	2653
107	320	2648
108	323	2646
109	326	2641
110	329	2635
111	331	2630
112	334	2626
113	337	2621
114	339	2616
115	342	2611
116	345	2605
117	348	2601
118	350	2595
119	353	2591
120	356	2586
121	358	2581
122	361	2575
123	363	2570
124	366	2564
125	369	2560
126	372	2558
127	374	2554
128	378	2552
129	380	2548
130	383	2545
131	386	2543
132	389	2539
133	392	2537
134	395	2535
135	398	2533
136	401	2530
137	404	2528
138	407	2526
139	410	2524
140	413	2519
141	416	2516
142	419	2512
