Date,Holiday_Label
2015-04-06,Easter
2014-04-21,Easter
2013-04-01,Easter
2014-12-25,Christmas
2013-12-25,Christmas
2015-06-04,Public Holiday
2015-05-25,Public Holiday
2015-05-14,Public Holiday
2015-05-01,Public Holiday
2015-01-06,Public Holiday
2015-01-01,Public Holiday
2014-11-19,Public Holiday
2014-11-01,Public Holiday
2014-10-31,Public Holiday
2014-10-03,Public Holiday
2014-06-19,Public Holiday
2014-06-09,Public Holiday
2014-05-29,Public Holiday
2014-05-01,Public Holiday
2014-01-06,Public Holiday
2014-01-01,Public Holiday
2013-11-20,Public Holiday
2013-11-01,Public Holiday
2013-10-31,Public Holiday
2013-10-03,Public Holiday
2013-08-15,Public Holiday
2013-05-30,Public Holiday
2013-05-20,Public Holiday
2013-05-09,Public Holiday
2013-05-01,Public Holiday
2013-01-06,Public Holiday
2013-01-01,Public Holiday
2015-07-31,School Holiday
2015-07-30,School Holiday
2015-07-29,School Holiday
2015-07-28,School Holiday
2015-07-27,School Holiday
2015-07-26,School Holiday
2015-07-25,School Holiday
2015-07-24,School Holiday
2015-07-23,School Holiday
2015-07-22,School Holiday
2015-07-21,School Holiday
2015-07-20,School Holiday
2015-07-17,School Holiday
2015-07-16,School Holiday
2015-07-15,School Holiday
2015-07-14,School Holiday
2015-07-13,School Holiday
2015-07-10,School Holiday
2015-07-09,School Holiday
2015-07-08,School Holiday
2015-07-07,School Holiday
2015-07-06,School Holiday
2015-07-03,School Holiday
2015-07-02,School Holiday
2015-07-01,School Holiday
2015-06-30,School Holiday
2015-06-29,School Holiday
2015-06-05,School Holiday
2015-06-04,School Holiday
2015-06-03,School Holiday
2015-06-02,School Holiday
2015-06-01,School Holiday
2015-05-29,School Holiday
2015-05-28,School Holiday
2015-05-27,School Holiday
2015-05-26,School Holiday
2015-05-22,School Holiday
2015-05-21,School Holiday
2015-05-20,School Holiday
2015-05-19,School Holiday
2015-05-18,School Holiday
2015-05-15,School Holiday
2015-05-14,School Holiday
2015-05-13,School Holiday
2015-05-12,School Holiday
2015-05-11,School Holiday
2015-04-17,School Holiday
2015-04-16,School Holiday
2015-04-15,School Holiday
2015-04-14,School Holiday
2015-04-13,School Holiday
2015-04-10,School Holiday
2015-04-09,School Holiday
2015-04-08,School Holiday
2015-04-07,School Holiday
2015-04-06,School Holiday
2015-04-05,School Holiday
2015-04-04,School Holiday
2015-04-03,School Holiday
2015-04-02,School Holiday
2015-04-01,School Holiday
2015-03-31,School Holiday
2015-03-30,School Holiday
2015-03-29,School Holiday
2015-03-28,School Holiday
2015-03-27,School Holiday
2015-03-26,School Holiday
2015-03-25,School Holiday
2015-03-13,School Holiday
2015-03-12,School Holiday
2015-03-11,School Holiday
2015-03-10,School Holiday
2015-03-09,School Holiday
2015-03-06,School Holiday
2015-03-05,School Holiday
2015-03-04,School Holiday
2015-03-03,School Holiday
