Location,Latitude,Longitude,Site,Space_Center_Name,Country
"LC-39A, Kennedy Space Center, Florida, USA",28.6084,-80.6219,LC-39A,Kennedy Space Center,USA
"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",40.9668,100.302,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,China
"Pad A, Boca Chica, Texas, USA",25.9972,-97.1553,Pad A,Boca Chica,USA
"Site 200/39, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 200/39,Baikonur Cosmodrome,Kazakhstan
"SLC-41, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-41,Cape Canaveral AFS,USA
"LC-9, Taiyuan Satellite Launch Center, China",38.8492,111.6086,LC-9,Taiyuan Satellite Launch Center,China
"Site 31/6, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 31/6,Baikonur Cosmodrome,Kazakhstan
"LC-101, Wenchang Satellite Launch Center, China",19.614,110.9513,LC-101,Wenchang Satellite Launch Center,China
"SLC-40, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-40,Cape Canaveral AFS,USA
"LA-Y1, Tanegashima Space Center, Japan",30.4018,130.9758,LA-Y1,Tanegashima Space Center,Japan
"LP-0B, Wallops Flight Facility, Virginia, USA",37.8387,-75.478,LP-0B,Wallops Flight Facility,USA
"Site 95, Jiuquan Satellite Launch Center, China",40.9668,100.302,Site 95,Jiuquan Satellite Launch Center,China
"LC-3, Xichang Satellite Launch Center, China",28.246,102.025,LC-3,Xichang Satellite Launch Center,China
"Pad 1, Palmachim Airbase, Israel",31.8986,34.707,Pad 1,Palmachim Airbase,Israel
"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",-39.2615,177.8647,Rocket Lab LC-1A,Rocket Lab,New Zealand
"LC-2, Xichang Satellite Launch Center, China",28.246,102.025,LC-2,Xichang Satellite Launch Center,China
"Xichang Satellite Launch Center, China",28.246,100.279,Xichang Satellite Launch Center,Satellite Launch Center,China
"Cosmic Girl, Mojave Air and Space Port, California, USA",35.0594,-118.1515,Cosmic Girl,Mojave Air and Space Port,USA
"Site 43/4, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 43/4,Plesetsk Cosmodrome,Russia
"LA-Y2, Tanegashima Space Center, Japan",30.4018,130.9758,LA-Y2,Tanegashima Space Center,Japan
"Launch Plateform, Shahrud Missile Test Site",36.4194,55.0234,Launch Plateform,Shahrud Missile Test Site,Shahrud Missile Test Site
"LC-201, Wenchang Satellite Launch Center, China",19.614,110.9513,LC-201,Wenchang Satellite Launch Center,China
"Site 43/3, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 43/3,Plesetsk Cosmodrome,Russia
"ELA-3, Guiana Space Centre, French Guiana, France",5.236,-52.768,ELA-3,Guiana Space Centre,France
"LP-0A, Wallops Flight Facility, Virginia, USA",37.8387,-75.478,LP-0A,Wallops Flight Facility,USA
"Imam Khomeini Spaceport, Semnan Space Center, Iran",35.234,53.92,Imam Khomeini Spaceport,Semnan Space Center,Iran
"Site 133/3, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 133/3,Plesetsk Cosmodrome,Russia
"Site 81/24, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 81/24,Baikonur Cosmodrome,Kazakhstan
"ELS, Guiana Space Centre, French Guiana, France",5.236,-52.768,ELS,Guiana Space Centre,France
"Blue Origin Launch Site, West Texas, Texas, USA",31.44,-104.736,Blue Origin Launch Site,West Texas,USA
"First Launch Pad, Satish Dhawan Space Centre, India",13.7191,80.2305,First Launch Pad,Satish Dhawan Space Centre,India
"Taiyuan Satellite Launch Center, China",28.246,100.279,Taiyuan Satellite Launch Center,Taiyuan Satellite Launch Center,China
"Second Launch Pad, Satish Dhawan Space Centre, India",13.7191,80.2305,Second Launch Pad,Satish Dhawan Space Centre,India
"LC-16, Taiyuan Satellite Launch Center, China",38.8492,111.6086,LC-16,Taiyuan Satellite Launch Center,China
"Vertical Launch Area, Spaceport America, New Mexico",32.9906,-106.9731,Vertical Launch Area,Spaceport America,New Mexico
"Stargazer, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,Stargazer,Cape Canaveral AFS,USA
"Site 1/5, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 1/5,Baikonur Cosmodrome,Kazakhstan
"SLC-37B, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-37B,Cape Canaveral AFS,USA
"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",5.236,-52.768,ELV-1 (SLV),Guiana Space Centre,France
"Site 1S, Vostochny Cosmodrome, Russia",51.884,128.334,Site 1S,Vostochny Cosmodrome,Russia
"SLC-4E, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-4E,Vandenberg AFB,USA
"Tai Rui Barge, Yellow Sea",37.0,124.0,Tai Rui Barge,Yellow Sea,Yellow Sea
"SLC-6, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-6,Vandenberg AFB,USA
"Mu Pad, Uchinoura Space Center, Japan",31.2522,131.0822,Mu Pad,Uchinoura Space Center,Japan
"SLC-2W, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-2W,Vandenberg AFB,USA
"SLC-3E, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-3E,Vandenberg AFB,USA
"Uchinoura Space Center, Japan",31.2522,131.0822,Uchinoura Space Center,Uchinoura Space Center,Japan
"Site 45/1, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 45/1,Baikonur Cosmodrome,Kazakhstan
"SLC-576E, Vandenberg AFB, California, USA",34.5843,-120.6269,SLC-576E,Vandenberg AFB,USA
"SLC-46, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,SLC-46,Cape Canaveral AFS,USA
"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",40.9668,100.302,Site 901 (SLS-1),Jiuquan Satellite Launch Center,China
"Pad 1, Sohae Satellite Launching Station, North Korea",39.6585,124.7053,Pad 1,Sohae Satellite Launching Station,North Korea
"LP-41, Kauai, Pacific Missile Range Facility",22.0103,-159.7861,LP-41,Pacific Missile Range Facility,Pacific Missile Range Facility
"Site 370/13, Yasny Cosmodrome, Russia",51.0944,59.8408,Site 370/13,Yasny Cosmodrome,Russia
"Site 35/1, Plesetsk Cosmodrome, Russia",62.927,40.561,Site 35/1,Plesetsk Cosmodrome,Russia
"Site 175/59, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 175/59,Baikonur Cosmodrome,Kazakhstan
"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",1.87,-157.35,LP Odyssey,Kiritimati Launch Area,Pacific Ocean
"Jiuquan Satellite Launch Center, China",28.246,100.279,Jiuquan Satellite Launch Center,Jiuquan Satellite Launch Center,China
"Stargazer, Vandenberg AFB, California, USA",34.5843,-120.6269,Stargazer,Vandenberg AFB,USA
"LC-1, Naro Space Center, South Korea",34.4313,127.534,LC-1,Naro Space Center,South Korea
"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.048,167.731,Stargazer,Ronald Reagan Ballistic Missile Defense Test Site,USA
